"","Country.name","Period","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+"
"1","Austria","2010-2015",0.104074136595884,0.115850447114961,0.306580481329339,0.276377078855371,0.244393692415447,0.271118006867089,0.208428126179738,-0.0435792496879428,-0.322234217771038,-0.161008501898846
"2","Belgium","2010-2015",0.192806676767955,0.105107452819615,0.375995237219219,0.240574186733349,0.248036927699734,0.334244285155885,0.245442879506874,-0.162809949459265,-0.432171621519435,-0.14722607492393
"3","Belarus","2010-2015",0.111019160944076,0.0945267106682082,0.389088359658069,0.525493175391799,0.51246816954683,0.311132678180054,-0.179339561133749,-0.504386754405175,-0.238518084658955,-0.0214838541911571
"4","Bulgaria","2010-2015",0.265705873235719,0.121749720305546,0.252348074990966,0.238520196536462,0.321810295522681,0.352565856695301,-0.0258225650109246,-0.341609988782951,-0.168331482739665,-0.0169359807531336
"5","Czech Republic","2010-2015",0.108841141793014,0.0908044263169171,0.290684901825022,0.214190431111538,0.276344244803379,0.361918311239871,0.178773649498332,-0.216438623413275,-0.250774059247062,-0.0543444239277361
"6","Denmark","2010-2015",0.117197089560373,0.0988293873972037,0.354601949769061,0.357476733737993,0.417382420703438,0.530810876797338,0.305821078841461,-0.224187670387182,-0.676848083462648,-0.281083782957037
"7","Estonia","2010-2015",0.0441403421098191,0.0696493231215403,0.363048221548523,0.391284957902773,0.352002284519454,0.333079390449008,0.0700274866167281,-0.297175808559595,-0.267363342142107,-0.0586928555661433
"8","Finland","2010-2015",0.045181945046927,0.0669018922942946,0.311076165081959,0.24968109790229,0.276940944643114,0.310278191037338,0.200528198990874,-0.101499436545449,-0.275931053652581,-0.0831579447987681
"9","Hungary","2010-2015",0.143624564173211,0.142671049529894,0.26904985994293,0.279943801863633,0.505264812070908,0.635378233947891,0.0113765996843481,-0.556937899198841,-0.377945984289497,-0.0524250377244768
"10","France","2010-2015",0.0852292192672283,0.096499679687155,0.270651634970269,0.238342523855267,0.277184209160733,0.386635678386414,0.246366698314184,-0.0755342975688794,-0.343166756410285,-0.182208589662086
"11","Germany","2010-2015",0.104935891002365,0.0951007255320404,0.254450554771501,0.21289629695617,0.278179078747777,0.420102187277486,0.27125254686891,-0.148007275186195,-0.374885066130234,-0.11402493983982
"12","Greece","2010-2015",0.0715938352953902,0.071009128869832,0.234394376711374,0.175249754133547,0.201635594638742,0.273082442705014,0.172541113852174,-0.0620826198124636,-0.0918682560379425,-0.0455553703556671
"13","Italy","2010-2015",0.112531650445901,0.137386440812088,0.287131477510521,0.244868244820452,0.254071108975739,0.377807343670269,0.355313156134833,-0.0542507345477969,-0.496559836930906,-0.2182988508911
"14","Ireland","2010-2015",0.142470348208418,0.139621400924673,0.437730745318496,0.258832658991676,0.216460823418995,0.215809268562542,0.168153561333617,-0.0940523841899565,-0.33844070442238,-0.14658571814608
"15","Netherlands","2010-2015",0.462184758218888,0.21881395373247,0.623268826846474,0.391285768163173,0.323940357183079,0.532368286814259,0.546039732003447,-0.34336058887799,-1.31000618067139,-0.444534913412414
"16","Norway","2010-2015",0.110786230816367,0.10680798556158,0.471383944309176,0.316988763240216,0.228641921670983,0.269308736818716,0.238142564732011,-0.0875157679357831,-0.471650987631069,-0.182893391582196
"17","Russia","2010-2015",0.160328673220255,0.125817356318996,0.489987587033778,0.619389733877886,0.388115734890781,0.124596393058161,-0.276742909472855,-0.452853815667623,-0.168022343659869,-0.0106164095995093
"18","Latvia","2010-2015",0.131182872156136,0.12281393419143,0.319438113696767,0.466852064332777,0.446922823129939,0.325934952012906,-0.101529527063406,-0.437818242500108,-0.251655924980857,-0.0221410649755841
"19","Lithuania","2010-2015",0.0510325181312262,0.133337988531332,0.35915942697244,0.414133900556295,0.390639743011247,0.25550400554458,-0.0769385348939815,-0.321494789489783,-0.18295532059961,-0.0224189377637468
"20","Poland","2010-2015",0.0769587268051679,0.0889112725129932,0.309106084645919,0.286743984408833,0.359368755379623,0.351148279681128,0.0764263061728226,-0.259472427440192,-0.238898977208448,-0.0502920049578464
"21","Portugal","2010-2015",0.0933767319947283,0.0638173521065501,0.195220662324396,0.198725186481045,0.322224932756882,0.381687541840393,0.191746410110252,-0.0939601697267858,-0.256565898297874,-0.0962727495895875
"22","Slovakia","2010-2015",0.123016446791331,0.107762190278645,0.268471531005391,0.246718264351441,0.355248774187653,0.388033021811913,0.082532899269281,-0.312511423454913,-0.220475742180222,-0.0387959620605193
"23","Slovenia","2010-2015",-0.00952471044342843,0.107467068032383,0.274733778289206,0.225542123655105,0.285011043564688,0.422379625714091,0.255093693070631,-0.152031274246347,-0.330955483599603,-0.0777158640367253
"24","Spain","2010-2015",0.0820367062875106,0.0509611524182549,0.181962734611946,0.157584600250734,0.279848246262745,0.452394910140556,0.367370961503472,-0.0497744051386785,-0.362788426163595,-0.159596480172944
"25","Sweden","2010-2015",0.104298987288013,0.10448281835038,0.482760463258238,0.272543939909465,0.233191652713376,0.305110044351826,0.256504763215464,-0.0745201386413661,-0.478126247176508,-0.206246283268888
