"","Country.name","Period","Smoking-related cancers","Sex-specific cancers","Other cancers","IHD and Stroke","Rest of circulatory diseases","Mental and nervous system","Alcohol-attributable causes","Infectious (respiratory) diseases","Non-infectious respiratory disases","External causes","Rest of causes","NA"
"1","Austria","2010-2015",0.215074515709865,-0.09417168846005,0.0877290238615037,0.261554793101733,0.0613255541296383,0.0311419843165647,0.0254046854409813,0.0529754681880586,0.0177355939696746,0.198517895718652,0.142712174023378,NA
"2","Belgium","2010-2015",0.287489890035778,-0.0967378373158871,0.0869013786577177,0.154585238675636,0.082723715485879,0.0244910310092457,0.0128727416357672,0.0869318256641317,0.027227672389504,0.178717166562632,0.154797177199596,NA
"3","Belarus","2010-2015",0.401644852918961,-0.0496787844987138,0.0446786200149752,0,0,0,0.110685836788199,0.0674636316795298,0,0.425205843097049,0,NA
"4","Bulgaria","2010-2015",0.194674801844499,-0.0654750053277009,0.0396034818546527,0.246327668337336,0.245612454902203,0.0100356549397961,0.00107941771316943,0.0402215178026407,0.0146310202871288,0.125558650297093,0.147730337349182,NA
"5","Czech Republic","2010-2015",0.243120165997023,-0.059541512514758,0.053338885481103,0.273775002032595,0.097127144157347,0.0169292858798338,0.00461299990835041,0.0615186347169319,0.0116876984615637,0.183779896826572,0.113651799053438,NA
"6","Denmark","2010-2015",0.201309882662054,-0.0735474182212551,0.0856095628527777,0.195478008197395,0.11416549025561,0.0329488295736383,0.0622121725935512,0.043651340824236,0.0153303810524029,0.150136701130232,0.172705049079358,NA
"7","Estonia","2010-2015",0.210415789683606,-0.0220068521853445,0.0336062561647798,0.258348324003221,0.120690473683716,0.01282931692211,0.0606571349630629,0.0372312543090945,0.0292015202196808,0.226262762164901,0.0327640200711731,NA
"8","Finland","2010-2015",0.153489588061539,-0.0454045969242256,0.0536080612036016,0.303901028963405,0.0840043768339228,0.0382155799392674,0.0134159614804815,0.0457626919457947,0.00976632895279935,0.229137736634879,0.114103242908535,NA
"9","Hungary","2010-2015",0.271437464337944,NA,0.046409317897667,0.283331014616172,0.0989047591852663,0.0141810255109597,0.0110518322077658,0.0445864375583442,0.0197685269925871,0.150102525227434,0.121728833526865,-0.0615017370610054
"10","France","2010-2015",0.282953105688432,-0.0688990920511213,0.118168796793819,0.120619168177861,0.083010689892478,0.0301136826453102,0.017749399236248,0.0392485580670518,0.0245151207617111,0.154749412417386,0.197771158370823,NA
