"","Country.name","Period","Smoking-related cancers","Sex-specific cancers","Other cancers","IHD and Stroke","Rest of circulatory diseases","Mental and nervous system","Alcohol-attributable causes","Infectious (respiratory) diseases","Non-infectious respiratory disases","External causes","Rest of causes","NA"
"11","Germany","2010-2015",0.249058325861833,-0.0800444034799981,0.0778399673561292,0.234820201151784,0.0882241485553885,0.0345017201118952,0.0254982832770308,0.0653490118689815,0.0197237365464851,0.123793785234157,0.161235223516314,NA
"12","Greece","2010-2015",0.115963883337284,-0.0283658814535291,0.0292910521532,0.0588761158887683,0.164737400436396,0.00979947891692623,0.0119163832009567,0.450706222895649,0.0144833737769993,0.130956806022855,0.041635164824496,NA
"13","Italy","2010-2015",0.335454642428956,-0.101332932035327,0.121054667460313,0.204437238417177,0.0840430431078624,0.0224561184530744,0.00198867819149574,0.0607259045430686,0.0272465404021075,0.122502016662063,0.12142408236921,NA
"14","Ireland","2010-2015",0.24944817927706,-0.123995973714411,0.0914923516546443,0.314186840631334,0.0640255823358011,0.0272524832971751,0.000942860897493751,0.0465092709534946,0.0362308352040661,0.221323667787749,0.0725839016755942,NA
"15","Netherlands","2010-2015",0.318342991955425,-0.111963387711729,0.106592905822511,0.168579479007995,0.134956868999997,0.0171702675126013,0.0106759413654167,0.0750552035565787,0.0216812971977751,0.124361946457363,0.134546485836067,NA
"16","Norway","2010-2015",0.188990386425594,-0.0363151973889004,0.0784352690938672,0.238761724245799,0.0891245206971685,0.0145707158812215,0.0185783730782115,0.0570789500255864,0.0166981251249342,0.184241515854446,0.149835616962073,NA
"17","Russia","2010-2015",0.130062580624905,-0.0343667648290875,0.0213114519127081,0.30308394978163,0.0867248492799388,0.0125038850216068,0.0352225705024714,0.0783045521300496,0.0284749440203736,0.280989269994184,0.0576887115612198,NA
"18","Latvia","2010-2015",0.188260766837614,-0.0395083929844885,0.034380589179739,0.317991476704089,0.109376830409475,0.0124828078639149,0.0429882221152509,0.0409731365398272,0.0235139808705596,0.221915489782799,0.0476250926812205,NA
"19","Lithuania","2010-2015",0.178737618719843,-0.0332051351263722,0.0305236048170965,0.283079632016607,0.0677675571011953,0.012966753513807,0.0489774730245503,0.0421060938677701,0.0335989259827778,0.27308229290725,0.0623651831754758,NA
"20","Poland","2010-2015",0.221661458796668,-0.0517597148823511,0.0357654044404881,0.168005185117709,0.170750906810712,0.00753353403457247,0.0136412974676994,0.0581454448251026,0.00621517367489048,0.192210359382463,0.177830950332046,NA
"21","Portugal","2010-2015",0.291567902790064,-0.0406653175353966,0.0803022221373311,0.144239103628345,0.0417591226399182,0.0219274591452671,0.00451727561468218,0.0746563853862627,0.0274643895569755,0.129022009601188,0.225209447035363,NA
"22","Slovakia","2010-2015",0.255172765985786,-0.0537957463528211,0.0491614930729673,0.263861767948232,0.072254939430937,0.0166991458844053,0.00512988047465052,0.0619139961691444,0.00691901002385308,0.181312530563671,0.141370216799175,NA
"23","Slovenia","2010-2015",0.292732457482275,-0.0498989626084981,0.0758298936122994,0.19324178146088,0.0509404131551169,0.0104788889714956,0.0328674371237105,0.0539182720697638,0.00618988197582641,0.209774968592339,0.123924968164791,NA
"24","Spain","2010-2015",0.368011729802142,-0.0574709635565539,0.0805383572599914,0.163017245707273,0.0585060416164848,0.0153658157351689,0.00301020917390516,0.0990246608080706,0.0393833919002822,0.0973571650481744,0.133256346505061,NA
"25","Sweden","2010-2015",0.133357181831028,-0.0440905542812701,0.0738997498214321,0.313927906541027,0.114436629818816,0.0141137408070174,0.0131191973451362,0.0233903035676348,0.0187823676136748,0.20993282975145,0.129130647184054,NA
"26","Switzerland","2010-2015",0.25407122581618,-0.0665608149795221,0.110456479131604,0.21647346488819,0.0985290839126974,0.021698825006776,0.0115956530552453,0.0550823218371739,0.0163789169308968,0.158012890918612,0.124261953482146,NA
"27","Ukraine","2010-2015",0.144209474520973,-0.0451410585476794,0.0246255719470919,0.349527784481427,0.0665676694602066,0.0186999590727233,0.0382085825165037,0.0846054122161955,0.0318382186301142,0.20805168240164,0.0788067033008047,NA
"28","United Kingdom","2010-2015",0.234687156383893,-0.103447498842758,0.105023533925327,0.307536326321649,0.0623572522134785,0.0271344664926114,0.00601955293424276,0.0627232364614666,0.0350837384694167,0.173858630801669,0.0890236048390044,NA
